Paper Title,Author,Journal/Conference,Publish Date,Citation Count,Selection Rationale,Keywords,Abstract,Paper URL
Phase-Based Noncontact Vibration Measurement of High-Speed Magnetically Suspended Rotor,"Cong Peng, Cong Zeng, Yangang Wang",IEEE Transactions on Instrumentation and Measurement,2020-07-01,34,"블록 A 핵심: 회전기계(자기부상 로터)를 대상으로 improved phase-based motion extraction 제안. 위상 변화를 직접 변위로 변환(위상 기울기 계산 생략), 마커 없이 고속카메라 영상에서 미세진동 추출. 학습 기반 영상 확대도 병행 검증.",phase-based optical flow/rotating machinery/markerless displacement,"Video-based measurement, as one of the most common noncontact measurement methods for industrial inspection, has been developed rapidly. Digital video cameras offer the benefit of low cost, high automation, and are capable to make the simultaneous full-field measurement. This article focuses on studying the microvibrational signal extraction for high-speed rotating machinery with digital cameras. An improved phase-based motion extraction and learning-based video magnification are proposed for measuring the microvibration with high frequency and small amplitude. The phase-based motion extraction is improved by directly transforming the phase variations into the displacement without the computation of phase gradient. Furthermore, the learning-based motion magnification is utilized to amplify and qualitatively measure the microvibration in specified frequency bands. The phase-based motion extraction is a quantitative measurement, while the learning-based video magnification is a qualitative measurement. Experimental results for microvibration measurement rising from a magnetically suspended motor system validate the effectiveness of the proposed method.",https://ieeexplore.ieee.org/document/8930299/
Camera-Based Micro-Vibration Measurement for Lightweight Structure Using an Improved Phase-Based Motion Extraction,"Cong Peng, Cong Zeng, Yangang Wang",IEEE Sensors Journal,2020-03-01,53,블록 A+C: 경량 구조물 대상 개선된 phase-based motion extraction으로 마커 없이 변위→가속도 변환. 서로 다른 카메라 파라미터/다운샘플링 효과 실험 검증.질량 로딩 영향 없음 확인.,phase-based motion extraction/camera parameters/markerless,"Video cameras are capable to collect high-density spatial data as each pixel is a sensor. An issue is that the video data is difficult to convert into the motion information, such as displacement. This paper presents a novel camera-based vibration measurement methodology for the lightweight structure. First, the phase-based motion extraction method is improved by directly transforming the phase variations into the displacement without the computation of phase gradient. The displacement is then converted into acceleration information to describe the vibration. Moreover, the proposed vibration measurement is investigated for a lightweight structure without attached sensors to change the physical properties. The measurements of the acceleration signals from camera and accelerometer are compared for verification. The experimental results for the effect of mass-loading, different camera parameters and down-sampling on the measurement validate the effectiveness of the proposed method.",https://ieeexplore.ieee.org/document/8890727/
Video Camera–Based Vibration Measurement for Civil Infrastructure Applications,"Justin G. Chen, Abe Davis, Neal Wadhwa, Frédo Durand, William T. Freeman, Oral Büyüköztürk",Journal of Infrastructure Systems,2017-09-01,213,"블록 A+C 고인용: motion magnification 기법으로 175m 거리에서 안테나탑 고유진동수 식별(0.21mm, 1/170픽셀). 동작 보상·비디오 다운샘플링·노이즈 플로어 개선 논의.",motion magnification/civil infrastructure/long-range measurement,"Visual testing, as one of the oldest methods for nondestructive testing (NDT), plays a large role in the inspection of civil infrastructure. As NDT has evolved, more quantitative techniques have emerged such as vibration analysis. New computer vision techniques for analyzing the small motions in videos, collectively called motion magnification, have been recently developed, allowing quantitative measurement of the vibration behavior of structures from videos. Video cameras offer the benefit of long range measurement and can collect a large amount of data at once because each pixel is effectively a sensor. This paper presents a video camera-based vibration measurement methodology for civil infrastructure. As a proof of concept, measurements are made of an antenna tower on top of the Green Building on the campus of the Massachusetts Institute of Technology (MIT) from a distance of over 175 m, and the resonant frequency of the antenna tower on the roof is identified with an amplitude of 0.21 mm, which was less than 1/170th of a pixel. Methods for improving the noise floor of the measurement are discussed, especially for motion compensation and the effects of video downsampling, and suggestions are given for implementing the methodology into a structural health monitoring (SHM) scheme for existing and new structures.",https://ascelibrary.org/doi/10.1061/%28ASCE%29IS.1943-555X.0000348
Phase-Based Vibration Frequency Measurement From Videos Recorded by Unstable Cameras,"Zongdi Zang, Xuezhi Yang, Gang Zhang, Jincheng Wang, Jing Chen",IEEE Transactions on Instrumentation and Measurement,2022-01-01,15,블록 A+C: 불안정 카메라(흔들림) 영상에서 위상 기반 진동 주파수 측정. 인접프레임 위상차로 공간 표현 구축→선형 카메라 운동 제거→특이 스펙트럼 분석으로 왜곡 복원. 실험실+야외 검증.,unstable camera/phase-based vibration/camera motion separation,"Cameras can be used as noncontact sensors to measure target vibration conveniently. Recently, spatial phase-based methods have been developed to detect small vibrations with robustness to imaging noise. To deal with videos recorded by unstable cameras, this article proposes a novel phase-based method, which focuses on separating camera motions from target vibrations in the spatial domain and the temporal domain. The proposed method first builds a spatial representation based on adjacent-frame phase differences, which can maintain the optical flow continuity and subsequently lead to the removal of linear camera motions in the spatial domain. Then, the temporal vibration waveforms, which may still contain distortions caused by unstable camera and noise, are extracted. To restore the target vibration, a singular spectrum analysis is further incorporated for characterizing target vibrations and attenuating the distortions. The proposed method is evaluated in various laboratory and outdoor experiments. Compared with the state-of-the-art methods, the proposed method demonstrates substantial improvements on the vibration frequency measurement in the presence of camera motions.",https://ieeexplore.ieee.org/document/9853607/
Time-Varying Motion Filtering for Vision-Based Nonstationary Vibration Measurement,"Zhen Liu, Qingbo He, Shiqian Chen, Zhike Peng, Wenming Zhang",IEEE Transactions on Instrumentation and Measurement,2020-06-01,33,"블록 A: 기존 PVMM은 정상진동에만 적용 가능하나, 본 논문은 time-varying motion filtering(TVMF)을 제안해 비정상 진동 분해 및 시변 모드형상 시각화. 마커 없이 phase-based 방식 확장.",nonstationary vibration/time-varying motion filtering/phase-based magnification,"In the field of vibration measurement, the vision-based approach can achieve high spatial resolution compared to traditional accelerometers and lasers and thus has attracted much attention during the past decades. A recently developed phase-based video motion magnification (PVMM) technique to estimate subtle motions from videos is only suitable for stationary vibration measurement, because it is limited to analyze the well-separated vibration modes. In this article, a time-varying motion filtering (TVMF) method is presented to endow the PVMM technique with the ability to decompose nonstationary vibrations and visualize the time-dependent mode shapes of nonstationary systems. Specifically, we first build a parameterized mathematical model for the video motions and then extract each vibration mode by optimizing a set of parameters. After modulating each mode with an amplification factor, the time-varying characteristics of the vibration mode shapes can be visualized to naked eyes. Compared to the traditional PVMM technique, the merit of the proposed TVMF is verified to be able to produce less noise and fewer artifacts in nonstationary vibration measurement. The performance of TVMF is demonstrated on both a simulated experiment and a real nonstationary moving mass system.",https://ieeexplore.ieee.org/document/8822788/
Visual vibration measurement of rotating shafts utilising optical flow enhanced by single-component image phase,"Junshen Zhang, Q Zhang, Xiange Hou, Chenggang Hou",Nondestructive Testing And Evaluation,2026-04-30,0,"블록 A: 회전축 대상 SCIPOF(단일성분 영상 위상 강화 광학흐름) 제안. 협대역 대역통과 필터로 단일성분 영상 분리→해석신호 구성→위상 변화를 변위로 변환.기존 방법 대비 파라미터 자동 선택, 저SNR에서도 강건.",rotating shaft/single-component image phase/optical flow,"Noncontact vibration-measurement methods based on machine vision have been widely applied for their high scene adaptability, low cost, and easy operation. Directly obtaining vibration signals of rotating shafts using machine vision is an innovative and efficient way to assess the vibration intensity and operational status of rotating mechanical systems. However, their measurement accuracy is limited by lighting, noise, image resolution, and other factors. This work introduces a visual vibration-measurement method utilising optical flow enhanced by single-component image phase (SCIPOF). This method separates single-component images from the original images by designing a narrowband bandpass image filter with highly concentrated frequency components. Subsequently, analytic signals are constructed using these single-component images and their first order derivatives, from which the phase of the images is extracted. Finally, the phase variations from the reference image to other images in the videos are converted to the actual displacement signal of shafts. The proposed method avoids the effect of manual parameter selection of existing methods on measurement accuracy, which improves its robustness. A series of numerical simulations and actual rotor experiments demonstrate that SCIPOF outperforms existing methods in accuracy and reliability, and maintains high accuracy even with low signal-to-noise ratio video data.",https://www.tandfonline.com/doi/full/10.1080/10589759.2026.2666895
Extracting sub-pixel displacement measurements using visual vibrometry methods for non-destructive evaluation,"Lucy Dougill, Anthony J. Croxford, Paul D. Wilcox",Journal of Sound and Vibration,2025-05-05,0,블록 A: 강제가진+phase-based optical flow로 서브픽셀 변위 추출. motion magnification 없이 저프레임레이트 카메라로도 0.65μm(1/200픽셀) 분해능 달성. 마커 없이 엣지 기반.,sub-pixel displacement/forced excitation/phase-based optical flow,"Vibration-based methods are crucial for Non-Destructive Evaluation (NDE), with non-contact techniques valued for their adaptability to various materials and structures. This paper presents a cost-effective approach to vibrational analysis using off-the-shelf cameras to capture videos of forcibly excited structures. The method combines forced excitation with phase-based optical flow to extract sub-pixel displacements, eliminating the need for motion magnification. Forced excitation facilitates temporal Fourier analysis, optimising sub-pixel displacement extraction, enhancing sensitivity, and improving efficiency. In contrast to traditional methods that require high-frame rate cameras and extensive computational resources, this system operates effectively with a low-frame rate camera, making it well-suited for NDE applications in industrial settings. Visual vibrometry works on the principle that damage alters a structure’s vibrational response, using changes in pixel values as motion sensors for sub-pixel measurements. Forced excitation amplifies sensitivity by actively probing structures, aiding in early-stage damage detection. A case study of a cantilever structure demonstrated the system’s ability to resolve displacements as small as 0 . 65 μ m (1/200th of a pixel). Comparative analysis of defective and pristine cantilever samples revealed subtle differences in mode shapes, with the optimisation curve-fit method successfully identifying defects and showing promise for defect localisation. • Phase-based motion estimation with forced excitation for defect detection without magnification. • Temporal Fourier transform enhances computational efficiency and displacement accuracy. • Optimised curve fitting and sub-pixel displacement extraction for defect localisation. • Method works effectively with low-frame rate video and minimal hardware requirements. • Sensitivity analysis improves defect detection and localisation in visual vibrometry.",https://linkinghub.elsevier.com/retrieve/pii/S0022460X2500210X
VISION-BASED MODAL ANALYSIS OF MACHINE TOOL SYSTEMS: PROGRESS AND PROSPECTS,Mohit Law,Journal of Flow Visualization and Image Processing,2024-01-01,0,"블록 A 서베이: 공작기계 대상 비전기반 모달분석 리뷰. 마커 사용 vs 기계 자체 특징(feature) 기반 운동 등록, 카메라 선택, 공간-시간 에일리어싱 회피 방법론 정리.",vision-based modal analysis/machine tool/marker vs markerless review,"Modal analysis of machine tools involves estimating natural frequencies, damping ratios, and mode shapes from the vibratory response of the machine tool. Usually, modal hammers and shakers are used to excite, and accelerometers or laser vibrometers are used to measure the response. Though these procedures have become routine, sometimes the use of accelerometers can result in mass-loading that distorts the response, and though laser vibrometers are non-contact, their use is precluded by their high costs. To counter these issues, vision-based modal analysis methods have emerged as a viable and promising alternative. The spatiotemporal response is estimated by treating every pixel in every frame in the video of the vibrating machine as a motion sensor. Image processing schemes leveraged from developments in allied fields are then used to register motion from video. The method is noncontact, full field, and only needs a camera and post-processing on a computer, and as such, it offers advantages over the traditional measurement methods. Since vision-based methods are potentially paradigm-shifting, this paper reviews the recent progress to contextualize the prospects of the method. The review includes discussions on selection considerations of cameras and acquisition parameters, on using markers and the machine's own features to register motion, on the efficacy of different motion registration schemes, and workarounds for when motion is spatiotemporally aliased. The paper concludes by discussing challenges and prospects related to motion synchronization, measuring speed and time-varying dynamics, and technological trends that may aid the adoption of the method.","https://www.dl.begellhouse.com/journals/52b74bd3689ab10b,440ad51f4bfe9338,6e4f2fbd39413daa.html"
Intelligent Machinery Fault Diagnosis With Event-Based Camera,"Xiang Li, Shupeng Yu, Yaguo Lei, Naipeng Li, Bin Yang",IEEE Transactions on Industrial Informatics,2024-01-01,170,"블록 B 최고인용: 이벤트카메라로 비접촉 진단 선도 연구. vibratioin event representation로 이벤트→데이터샘플 변환, DCNN 분류.환경 노이즈 이벤트 대상 데이터 증강+표현 클러스터링 제안.가속도계 데이터와 견줄만한 정확도.",event camera/bearing fault diagnosis/deep learning/non-contact,"Event-based cameras are the emerging bioinspired technology in vision sensing. Different from the traditional standard cameras, the event-based cameras asynchronously record the brightness change per pixel, and have the great merits of high temporal resolution, low energy consumption, high dynamic range, etc. While the event-based cameras have been initially exploited in several common vision-based tasks in the recent years, the investigation on machine condition monitoring problem is quite limited. This article offers the first attempt in the current literature on exploring the contactless event vision data for machine fault diagnosis. A vibration event representation is proposed to transform the event records into typical data samples, and a deep convolutional neural network model is used for processing the event information. To enhance the model robustness against environmental noisy vision events, an event data augmentation method is proposed to introduce variations of the event patterns. A deep representation clustering method is further proposed to improve the pattern recognition performance with respect to different machine health conditions. Experiments on the event vision-based rotating machine fault diagnosis problem are carried out. It is extensively validated that high fault diagnosis accuracies can be obtained using the vision data from the event-based cameras, which are competitive with the popular accelerometer data. Considering the properties of flexibility, portability, and data recognizability, the event-based cameras thus provide a promising new tool for contactless machine health condition monitoring and fault diagnosis.",https://ieeexplore.ieee.org/document/10086648/
Non-Contact Machine Vibration Sensing and Fault Diagnosis Method Based on Event Camera,"Ruiyi Guang, Xiang Li, Yaguo Lei, Naipeng Li, Bin Yang",,2023-09-22,15,블록 B: 이벤트카메라 이벤트→누적프레임→Gabor필터로 시간영역 진동 추출→3층 웨이블릿 패킷 분해+포뢰스 스펙트럼으로 결함특성주파수 식별. 베어링 실험 검증.,event camera/Gabor filter/bearing fault/non-contact diagnosis,"Rotating machinery plays a key role in the field of industrial manufacturing and is an indispensable equipment in the production line. Many rotating machines work in extreme environments for a long time, which makes them more prone to various failures. Now it is popular to use the vibration signal collected by the accelerometer for fault diagnosis. However, accelerometers are contact sensors, and their installations are limited in many situations. To relieve this requirement, this paper use event-based vision sensor for non-contact signal acquisition and fault diagnosis. We propose a novel event vision-based method for machine fault diagnosis. First, the event data are integrated into cumulative event frames and the time-domain signal of the vibration is extracted through a Gabor filter. Then, we use the three-layer wavelet packet decomposition method and envelope spectrum analysis on the time-domain signal to obtain the fault characteristic frequency and identify the faults. The experiments on rolling bearings validate the effectiveness of the method, indicating that event cameras have broad application prospects in the field of non-contact fault diagnosis.",https://ieeexplore.ieee.org/document/10295762/
