제목,저자,저널/컨퍼런스,발행일,인용 수,이 논문이 사용된 이유,키워드,초록,URL
Fault Diagnosis of Motor Bearing by Analyzing a Video Clip,"Siliang Lu, Xiaoxian Wang, Fang Liu, Qingbo He, Yongbin Liu, Jiwen Zhao",Mathematical Problems in Engineering,2016-03-24,6,"유일하게 스마트폰 카메라+마이크를 동시 활용한 베어링 진단 연구. 
카메라→회전속도(IFR), 마이크→결함특성주파수(IFCF) 추출 후 FCO=IFCF/IFR로 결함 식별.
단, 딥러닝 융합이 아닌 신호처리 기반.",cellphone camera; microphone; bearing fault; FCO; video clip,"Conventional bearing fault diagnosis methods require specialized instruments to acquire signals that can reflect the health condition of the bearing. For instance, an accelerometer is used to acquire vibration signals, whereas an encoder is used to measure motor shaft speed. This study proposes a new method for simplifying the instruments for motor bearing fault diagnosis. Specifically, a video clip recording of a running bearing system is captured using a cellphone that is equipped with a camera and a microphone. The recorded video is subsequently analyzed to obtain the instantaneous frequency of rotation (IFR). The instantaneous fault characteristic frequency (IFCF) of the defective bearing is obtained by analyzing the sound signal that is recorded by the microphone. The fault characteristic order is calculated by dividing IFCF by IFR to identify the fault type of the bearing. The effectiveness and robustness of the proposed method are verified by a series of experiments. This study provides a simple, flexible, and effective solution for motor bearing fault diagnosis. Given that the signals are gathered using an affordable and accessible cellphone, the proposed method is proven suitable for diagnosing the health conditions of bearing systems that are located in remote areas where specialized instruments are unavailable or limited.",http://www.hindawi.com/journals/mpe/2016/8139273/
A Novel Contactless Angular Resampling Method for Motor Bearing Fault Diagnosis Under Variable Speed,"Siliang Lu, Jie Guo, Qingbo He, Fang Liu, Yongbin Liu, Jiwen Zhao",IEEE Transactions on Instrumentation and Measurement,2016-08-08,57,"고속카메라 영상→KLT 트래킹으로 회전각 추출 + 마이크 음향→각도영역 리샘플링→오더분석. 카메라+마이크 융합이지만 전용 고속카메라 사용, 스마트폰 아님.",high-speed camera; microphone; angular resampling; bearing fault; KLT,"This paper proposes a novel contactless angular resampling method for motor bearing fault diagnosis under variable speed. This method involves three steps: (1) the instantaneous rotating angle is measured using the Kanade-Lucas-Tomasi object tracking algorithm from a video that is recorded by a high-speed camera; (2) the bearing signal that is acquired using a microphone is resampled in the angular domain based on the accumulated angle curve; and (3) the resampled signal is demodulated to obtain the bearing fault characteristic frequency for order analysis (OA) and fault recognition. This method has been proven effective in diagnosing a set of defective bearings installed on a brushless direct current motor's and a direct current motor's test rigs, respectively. As its main contribution, this paper exploits a novel optical measurement method to estimate rotating speed, thereby avoiding the use of a tachometer and overcoming the limitations of conventional tacholess OA methods.",http://ieeexplore.ieee.org/document/7536157/
Bearing Fault Diagnosis Under Multisensor Fusion Based on Modal Analysis and Graph Attention Network,"Ziran Meng, Jun Zhu, Shancheng Cao, Pengfei Li, Chao Xu",IEEE Transactions on Instrumentation and Measurement,2023-01-01,40,"Phase-based 비전 측정(방향제어 피라미드)으로 진동 필드 복원 + 음향 신호를 커널 함수로 융합 후 그래프 어텐션 네트워크 분류. 비전+음향 융합이지만 고속카메라 기반, 스마트폰 아님.",phase-based optical flow; acoustic; graph attention; bearing fault; non-contact,"In existing research on rotating machinery diagnosis using graph neural networks, most methods are based on vibration analysis under contact sensor monitoring. However, the gathered vibration signal is sensitive to the increased mass of the sensor, and after prolonged close contact, the vibration sensor may cause structural damage to the object. A multi-sensor fusion based on modal analysis and graph attention network (MFMAGAT) for bearing fault diagnosis is suggested as a solution to these issues. First, we proposed a phase-based full-field non-contact measurement method based on direction-controlled pyramids to extract phase information at different scales and directions and use the phase information to characterize the vibration of the structure. Then, based on the vibration and acoustic signals of the characterized structure, we constructed a kernel function that can fuse the heterogeneous information, and its singular value decomposition can jointly characterize the response of the structure at same frequency bands from the video data and the acoustic data. Finally, considering that the decomposed features are independent and orthogonal to each other, the graph attention network is introduced at this time to find the weights among the components to jointly characterize the structural damage and improve the damage recognition accuracy. Comparison results show that the proposed method is effective and performs better than other conventional graph neural network diagnosis methods.",https://ieeexplore.ieee.org/document/10209263/
Visio-Acoustic Data Fusion for Structural Health Monitoring Applications,"Chad R. Samuelson, Caitrin A. Duffy-Deno, Christopher B. Whitworth, David Mascareñas, Jeffery D. Tippmann, Alessandro Cattaneo",River Publishers eBooks,2020-09-23,1,비디오 기반 진동 측정 + 마이크폰 음향 배열 융합(SHM). 카메라로 서브나이퀴스트 진동 복원 후 음향으로 주파수 내용 보정.베어링이 아닌 구조물 건전성 모니터링.,visio-acoustic fusion; video vibration; microphone array; structural health monitoring,"Structural health monitoring has been an expanding discipline due to its potential to decrease maintenance and downtime costs, detect failure early, extend life spans, and fulfill the increased need of safety and security. Acoustic source identification techniques’ have been used for remote structural health monitoring, but the applicability of each technique has been limited by factors ranging from achievable spatial resolution to hardware costs. This paper aims to mitigate current acoustic techniques’ limitations by exploring the possibility of fusing acoustic and video data. This paper focuses on combining microphone acoustic measurements with vibrational information recovered from video-based measurements. Among acoustic methods, acoustic arrays have been used for remotely detecting, localizing and characterizing acoustic sources. Acoustic-array based techniques are limited in their ability to discriminate multiple closely-spaced acoustic sources from far-field acoustic pressure signals. On the contrary, video-based techniques have shown the ability to recover full-field, high resolution mode shapes, and the associated frequencies and damping ratios with virtually no dependence with the distance from the target. The challenge with video methods, applied to acoustic source identification, is that acoustic sources may occur in the kilohertz range requiring a higher frame per second sampling rate than most low cost cameras. Acoustic measurements provide additional information content that is used to recover the correct frequency content of an acoustically radiating structure from temporally-aliased (sub-Nyquist) video measurements. Experiments are conducted to show how combining acoustic and video data relaxes the hardware requirements for acoustic source detection and localization applications.",http://link.springer.com/10.1007/978-3-030-47721-9_5
Bearing fault diagnosis based on vibro-acoustic data fusion and 1D-CNN network,"Xin Wang, Dongxing Mao, Xiaodong Li",Measurement,2020-09-30,414,"진동(가속도계)+음향(마이크) 1D-CNN 융합의 선구적 연구(414회 인용). 영상이 아닌 가속도계+마이크 조합이지만, 음향-진동 딥러닝 융합 벤치마크로 중요.",vibro-acoustic fusion; 1D-CNN; accelerometer; microphone; bearing fault,"Abstract Bearing fault diagnosis is an important part of rotating machinery maintenance. Existing diagnosis methods based on single-modal signals not only have unsatisfactory accuracy, but also bear the inherent risk of being misguided by single-modal signal noise. A new method is put forward that fuses multi-modal sensor signals, i.e. the data collected by an accelerometer and a microphone, to realize more accurate and robust bearing-fault diagnosis. The proposed method extracts features from raw vibration signals and acoustic signals, and fuses them using the 1D-CNN-based networks. Extensive experimental results obtained on ten groups of bearings are used to evaluate the performance of the proposed method. By analyzing the loss function and accuracy rate under different SNRs, it is empirically found that the proposed method achieves higher rate of diagnosis accuracy than the algorithms based on a single-modal sensor. Moreover, a visualization analysis is also conducted to investigate the inner mechanism of the proposed 1D-CNN-based method.",https://linkinghub.elsevier.com/retrieve/pii/S0263224120310447
CCFT: The Convolution and Cross-Fusion Transformer for Fault Diagnosis of Bearings,"Tantao Lin, Yongsheng Zhu, Zhijun Ren, Kai Huang, Dawei Gao",IEEE/ASME Transactions on Mechatronics,2024-06-01,39,음향-진동 융합을 위한 CCFT(합성곱+교차융합 트랜스포머). 음향과 진동 특징 간 교차 상관관계 강화.가속도계+마이크 기반이지만 융합 아키텍처 설계 참고용.,CCFT; cross-fusion transformer; acoustic-vibration; bearing fault; multimodal,"A single-vibration signal is no longer adequate to fulfill the requirements of intelligent fault diagnosis (IFD) of bearings in complex systems. With the rapid advancement of the industrial Internet of Things, IFD methods based on multimodal information fusion have gained popularity. Acoustic signals are noninvasive, easily captured, and have a wide monitoring range. Therefore, acoustic-vibration fusion IFD (AVFIFD) holds promising application prospects. Nevertheless, current AVFIFD methods suffer from two limitations that lead to reduced accuracy: insufficient consideration of both local and temporal features during the feature extraction process, and inadequate emphasis on the correlation between acoustic and vibration features. To overcome these limitations and enhance the accuracy of AVFIFD, we propose the convolution and cross-fusion transformer (CCFT), which combines convolution and transformers to enhance local and temporal feature extraction and introduces cross-fusion transformers to improve the correlation between acoustic and vibration features. Finally, fault type identification is accomplished through a fusion classification module. In two case studies, CCFT outperforms other fusion methods. Additional visualization analysis illustrates that the cross-fusion transformer can improve the correlation of fault information by progressively minimizing the discrepancies between acoustic and vibration feature representations at each layer.",https://ieeexplore.ieee.org/document/10260234/
A Sound and Vibration Fusion Method for Fault Diagnosis of Rolling Bearings under Speed-Varying Conditions,"Haibo Wan, Xiwen Gu, Shixi Yang, Yanni Fu",Sensors,2023-03-01,24,가변속도 조건에서 음향+진동 융합(F-MSCNN). 원시 음향+진동 신호를 직접 입력으로 사용하는 융합 다중스케일 CNN.속도 일반화 성능 검증.,sound-vibration fusion; F-MSCNN; speed-varying; raw signal; bearing fault,"The fault diagnosis of rolling bearings is critical for the reliability assurance of mechanical systems. The operating speeds of the rolling bearings in industrial applications are usually time-varying, and the monitoring data available are difficult to cover all the speeds. Though deep learning techniques have been well developed, the generalization capacity under different working speeds is still challenging. In this paper, a sound and vibration fusion method, named the fusion multiscale convolutional neural network (F-MSCNN), was developed with strong adaptation performance under speed-varying conditions. The F-MSCNN works directly on raw sound and vibration signals. A fusion layer and a multiscale convolutional layer were added at the beginning of the model. With comprehensive information, such as the input, multiscale features are learned for subsequent classification. An experiment on the rolling bearing test bed was carried out, and six datasets under various working speeds were constructed. The results show that the proposed F-MSCNN can achieve high accuracy with stable performance when the speeds of the testing set are the same as or different from the training set. A comparison with other methods on the same datasets also proves the superiority of F-MSCNN in speed generalization. The diagnosis accuracy improves by sound and vibration fusion and multiscale feature learning.",https://www.mdpi.com/1424-8220/23/6/3130
A sound-vibration physical-information fusion constraint-guided deep learning method for rolling bearing fault diagnosis,"You Keshun, Wang Puzhou, Peng Huang, Yingkui Gu",Reliability Engineering & System Safety,2024-10-15,135,음향-진동 물리정보 융합 제약 유도 딥러닝(PFCG).15-DOF 동역학 모델로 물리적 제약 도입. 음향+진동 융합에 물리적 해석가능성 추가.,physics-informed; sound-vibration fusion; PFCG; 15-DOF model; bearing fault,"• Bearing failure rules are learned and guided by multi-physical fusion constraints. • Real physical information is ensured by introducing a 15-DOF kinetic physical model. • Self-calibration of sound-vibrational physical-information margins is met by PF. • Dual learning of physical and data features for fault diagnosis is enabled by PFCG. • Model explanability is analyzed by feature visualization and sensitivity analysis. Although current deep learning models for bearing fault diagnosis have achieved excellent accuracy, the lack of constraint-guided learning of the physical mechanisms of real bearing failures and a physically scientific training paradigm leads to low interpretability and unreliability of intelligent fault diagnosis models. In this study, a sound-vibration physical-information fusion constraint-guided (PFCG) deep learning (DL) method is proposed, aiming at weighted fusion of sound and vibration multi-physical information into a deep learning model, to guide the DL model to learn more realistic physical laws of bearing failure. Firstly, a 15-degree-of-freedom nonlinear dynamics model of multi-stage degraded bearing failure mechanism with sound-vibration response is developed, which considers the evolutionary mechanism of bearing failure from healthy state to different stages, and utilizes a particle filtering algorithm for dynamic calibration of hidden parameters. Moreover, a lightweight DL fault diagnosis model is designed to realize the deep interaction between the physical model and the DL model through the weighted fusion of the cross-entropy loss function, physical consistency loss and uncertainty loss. Moreover, the superior diagnostic performance of the proposed sound and vibration PFCG-DL model is verified by comparing the performance fluctuations and parameter attributes of different DL benchmark models before and after being guided by physical information fusion constraints (PFCG). Eventually, the proposed PFCG-Transformer model achieves a diagnostic accuracy of 99.45% while keeping the number of parameters at only 0.62M, which significantly improves the accuracy and reduces the computational complexity by 81.5% compared to the CAME-Transformer model's 3.24 M number of parameters and 95.00% diagnostic accuracy. In addition, the test time of PFCG-Transformer is reduced to 1.02 s, which is 60.2% less than CAME-Transformer, demonstrating higher computational efficiency and real-time performance. Importantly, in terms of interpretability, the engineering interpretability and credibility of the models are further improved by visualizing the feature learning results of the vibration modal and multimodal fusion models and the sensitivity analyses of the sound-vibration response models with internal and external physical hyperparameters. Therefore, this study proposes a physical information-guided deep learning method with strong interpretability and superior performance, which provides an important reference for further research and application in the field of bearing fault diagnosis.",https://linkinghub.elsevier.com/retrieve/pii/S0951832024006288
The visual microphone,"Abe Davis, Michael Rubinstein, Neal Wadhwa, Gautham J. Mysore, Frédo Durand, William T. Freeman",ACM Transactions on Graphics,2014-07-27,361,"The Visual Microphone: 고속비디오에서 물체 표면 미세진동으로 음향 복원. 영상 기반 진동 추출의 근간이 되는 기술이며, 질감/엣지 기반 마커리스 변위 추출의 이론적 기반이 됨.",visual microphone; high-speed video; vibration recovery; phase-based,"When sound hits an object, it causes small vibrations of the object's surface. We show how, using only high-speed video of the object, we can extract those minute vibrations and partially recover the sound that produced them, allowing us to turn everyday objects---a glass of water, a potted plant, a box of tissues, or a bag of chips---into visual microphones. We recover sounds from high-speed footage of a variety of objects with different properties, and use both real and simulated data to examine some of the factors that affect our ability to visually recover sound. We evaluate the quality of recovered sounds using intelligibility and SNR metrics and provide input and recovered audio samples for direct comparison. We also explore how to leverage the rolling shutter in regular consumer cameras to recover audio from standard frame-rate videos, and use the spatial resolution of our method to visualize how sound-related vibrations vary over an object's surface, which we can use to recover the vibration modes of an object.",https://dl.acm.org/doi/10.1145/2601097.2601119
Using Cell Phone Videos to Diagnose Machinery Faults,"Dan Ambre, Brian Schwarz, Shawn Richardson, Mark Richardson",River Publishers eBooks,2023-11-22,1,스마트폰 동영상에서 진동 신호 추출해 기계 결함 진단. 카메라만 사용(마이크 미융합).ODS(Operating Deflection Shapes) 분석으로 결함 시각화.,cellphone video; vibration extraction; ODS; machinery fault diagnosis,"Nearly everyone carries a cell phone in their pocket, including field technicians, engineers, and plant managers. Extracting vibration signals from a cell phone or tablet video offers a low-cost alternative to traditional methods for monitoring the health of plant operating equipment. In this chapter, two case studies are presented where vibration signals are extracted from cell phone videos and used to diagnose machinery faults. It is shown how time-based or frequency-based operating deflection shapes (ODSs) of a machine or structure can be used to visualize and analyze machine faults. In each case study, diagnosis of a real-world machine fault is presented. In the second case study, the video results are compared with accelerometer results to confirm the validity of this new non-contacting measurement method.",https://link.springer.com/10.1007/978-3-031-34930-0_11
